Trade #,Signal Timestamp,Signal Date,Daily Source Date,4H State Timestamp,Entry Timestamp,Exit Timestamp,Direction,Signal Close,Entry Price,Exit Price,Signal 1H ATR14,Initial SL,Exit/Final Stop,High-Water Mark,Daily Close,Daily EMA50,Daily EMA200,Daily Trend OK,4H EMA50,4H EMA100,4H RSI14,4H ATR14,4H EMA Spread,0.15×ATR Threshold,4H Separation OK,4H Breakout (20 prior incl. used 4H),4H Previous Active Breakout,1H Previous Close,Fresh Breakout OK,Initial Risk Points,Gross Points,Gross P&L (₹),Charges (₹),Net P&L (₹),R Multiple,Cumulative Net (₹),Peak Net (₹),Drawdown (₹),Exit Reason,Holding Bars,Daily EMA Fast,Daily EMA Slow,4H EMA Fast,4H EMA Slow,4H RSI Min,Breakout Length,Spread Min ATR,1H ATR Length,Initial SL ATR,TSL ATR,Baseline Slippage Points/Side,Contract Qty (g),₹ per Price Point / Lot
1,2017-09-07 20:00:00+05:30,2017-09-07,2017-09-06,2017-09-07T13:00:00+05:30,2017-09-07 21:00:00+05:30,2017-09-08 20:00:00+05:30,LONG,30304.0,30315.0,30216.552738970073,69.42562037785453,30176.14875924429,30226.552738970073,30470.0,30088.0,29003.275830363043,28990.668558540096,True,29676.38712482256,29324.47738575607,63.860726567681645,131.32478861919753,351.90973906649015,19.69871829287963,True,30298.0,30298.0,30273.0,True,138.85124075571002,-98.44726102992718,-984.4726102992718,102.12206035151809,-1086.5946706507898,-0.7825602887931741,-1086.5946706507898,-1086.5946706507898,0.0,intrabar_stop,13,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
2,2017-09-25 21:00:00+05:30,2017-09-25,2017-09-22,2017-09-25T17:00:00+05:30,2017-09-25 22:00:00+05:30,2017-09-26 19:00:00+05:30,LONG,30075.0,30085.0,29914.155449748774,87.19784067597384,29910.604318648053,29924.155449748774,30195.0,29608.0,29321.439371606757,29088.89256486005,True,29746.420491300087,29621.61888592018,62.64992050448275,141.14829792459386,124.80160537990741,21.17224468868908,True,30063.0,29817.0,29941.0,False,174.39568135194713,-170.84455025122588,-1708.4455025122588,101.6096953451624,-1810.0551978574213,-1.03790138828298,-2896.649868508211,-1086.5946706507898,-1810.0551978574213,intrabar_stop,11,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
3,2017-10-16 11:00:00+05:30,2017-10-16,2017-10-13,2017-10-13T21:00:00+05:30,2017-10-16 12:00:00+05:30,2017-10-17 10:00:00+05:30,LONG,29857.0,29867.0,29741.0,45.16226058709856,29776.675478825804,29776.675478825804,29896.0,29800.0,29463.753548719855,29162.902458649278,True,29674.490699149574,29643.830756567222,60.13015711226091,91.07711561698926,30.659942582351505,13.66156734254839,True,29840.0,29840.0,29813.0,True,90.32452117419598,-126.0,-1260.0,101.27247184,-1361.27247184,-1.507090714840003,-4257.922340348211,-1086.5946706507898,-3171.3276696974212,gap_stop,12,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
4,2018-01-16 10:00:00+05:30,2018-01-16,2018-01-15,2018-01-15T21:00:00+05:30,2018-01-16 11:00:00+05:30,2018-01-16 14:00:00+05:30,LONG,29831.0,29840.0,29746.279641419296,41.86017929035117,29756.279641419296,29756.279641419296,29860.0,29763.0,29174.986557225067,29174.947336964742,True,29295.695918574067,29169.33334893375,78.15640991639455,88.88614120683081,126.36256964031782,13.332921181024622,True,29785.0,29768.0,29760.0,True,83.72035858070376,-93.72035858070376,-937.2035858070376,101.2656620453836,-1038.4692478524212,-1.2404022933697423,-5296.391588200632,-1086.5946706507898,-4209.796917549842,intrabar_stop,3,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
5,2018-01-24 11:00:00+05:30,2018-01-24,2018-01-23,2018-01-23T21:00:00+05:30,2018-01-24 12:00:00+05:30,2018-01-25 19:00:00+05:30,LONG,29955.0,29965.0,30258.49841328497,45.94132209674889,29873.117355806502,30268.49841328497,30476.0,29876.0,29303.73994998892,29210.01200011693,True,29591.458479712153,29398.449281179895,66.98447277021677,82.26436289940324,193.00919853225787,12.339654434910486,True,29924.0,29924.0,29900.0,True,91.88264419349798,293.4984132849713,2934.984132849713,101.99913145460849,2832.9850013951045,3.083264555849144,-2463.4065868055277,-1086.5946706507898,-1376.811916154738,intrabar_stop,21,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
6,2018-02-02 10:00:00+05:30,2018-02-02,2018-02-01,2018-02-01T21:00:00+05:30,2018-02-02 11:00:00+05:30,2018-02-02 13:00:00+05:30,LONG,30554.0,30566.0,30401.128932489417,77.43553375529198,30411.128932489417,30411.128932489417,30566.0,30385.0,29488.95781665137,29266.10016720697,True,29935.47073783773,29684.476594326305,67.78444564942254,126.64742013198125,250.99414351142696,18.997113019797187,True,30476.0,30476.0,30429.0,True,154.8710675105831,-164.8710675105831,-1648.710675105831,102.49098530111752,-1751.2016604069483,-1.1307481045723924,-4214.608247212476,-1086.5946706507898,-3128.0135765616865,intrabar_stop,2,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
7,2018-02-14 20:00:00+05:30,2018-02-14,2018-02-13,2018-02-14T13:00:00+05:30,2018-02-14 21:00:00+05:30,2018-02-20 10:00:00+05:30,LONG,30486.0,30495.0,30649.380009829543,74.4843280161676,30346.031343967665,30659.380009829543,30811.0,30195.0,29666.09863322061,29333.167276372777,True,30080.84612322096,29903.597674224577,55.096378201764246,124.31911340686253,177.24844899638265,18.64786701102938,True,30300.0,30319.0,30268.0,True,148.96865603233528,154.38000982954327,1543.8000982954327,102.77962616525684,1441.020472130176,0.9673313235888942,-2773.5877750823,-1086.5946706507898,-1686.9931044315103,intrabar_stop,45,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
8,2018-03-06 21:00:00+05:30,2018-03-06,2018-03-05,2018-03-06T17:00:00+05:30,2018-03-06 22:00:00+05:30,2018-03-07 17:00:00+05:30,LONG,30647.0,30657.0,30526.55484701166,60.222576494170994,30536.55484701166,30536.55484701166,30657.0,30359.0,30012.309883307385,29483.943796171417,True,30410.304430034488,30283.550820243483,58.803834970041024,113.72680833217596,126.75360979100515,17.059021249826394,True,30597.0,30597.0,30580.0,True,120.44515298834085,-130.44515298834085,-1304.4515298834085,102.70126606879433,-1407.1527959522027,-1.1682934190705174,-4180.740571034503,-1086.5946706507898,-3094.145900383713,intrabar_stop,9,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
9,2018-03-22 12:00:00+05:30,2018-03-22,2018-03-21,2018-03-21T21:00:00+05:30,2018-03-22 13:00:00+05:30,2018-03-27 16:00:00+05:30,LONG,30554.0,30565.0,30762.53137084053,58.3431004221454,30448.31379915571,30772.53137084053,30947.0,30464.0,30156.657654812294,29586.969229931667,True,30365.505714702576,30332.324665670913,56.6839459448924,99.27613011352848,33.18104903166386,14.891419517029272,True,30539.0,30513.0,30526.0,False,116.6862008442913,197.53137084053014,1975.3137084053014,102.963184482432,1872.3505239228693,1.604603209612914,-2308.3900471116335,-1086.5946706507898,-1221.7953764608437,intrabar_stop,45,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
10,2018-04-11 15:00:00+05:30,2018-04-11,2018-04-10,2018-04-11T09:00:00+05:30,2018-04-11 16:00:00+05:30,2018-04-12 14:00:00+05:30,LONG,30987.0,30999.0,31102.431739858377,62.0280797971242,30874.94384040575,31112.431739858377,31422.0,30798.0,30368.00188247019,29720.07338683438,True,30632.39054224347,30551.5491747079,67.07914791207585,113.65325912239669,80.84136753556959,17.047988868359504,True,30981.0,30981.0,30931.0,True,124.05615959424904,103.43173985837711,1034.3173985837711,103.62823068709996,930.6891678966712,0.750216007766708,-1377.7008792149622,-1086.5946706507898,-291.10620856417245,intrabar_stop,12,50,200,50,100,55,20,0.15,14,2.0,3.5,10,100,10
