Date,PctAbove20EMA,PctAbove50EMA,PctAbove200EMA,Slope20EMA,Slope50EMA,Slope200EMA,VolumeRatio,Net52WHighLow,Rolling3DUp4,Rolling3DDown4,Up251MCount,Down251MCount,FollowThroughRate,LargePct20EMA,LargePct50EMA,LargePct200EMA,MidPct20EMA,MidPct50EMA,MidPct200EMA,SmallPct20EMA,SmallPct50EMA,SmallPct200EMA,MicroPct20EMA,MicroPct50EMA,MicroPct200EMA,CompositeScore,BestModel,RecommendedThreshold,ActionZone
2021-02-23,,,,,,,0.0,0,,,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-02-24,,,,,,,2.121,0,,,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-02-25,,,,,,,3.865,0,367.0,43.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-02-26,,,,,,,0.156,0,446.0,172.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-01,,,,,,,7.41,0,505.0,178.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-02,,,,,,,5.171,0,496.0,190.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-03,,,,,,,5.284,0,625.0,101.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-04,,,,,,,1.007,0,557.0,99.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-05,,,,,,,0.287,0,432.0,205.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-08,,,,,,,1.304,0,375.0,212.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-09,,,,,,,0.71,0,300.0,273.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-10,,,,,,,2.874,0,355.0,170.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-12,,,,,,,0.485,0,299.0,182.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-15,,,,,,,0.736,0,312.0,175.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-16,,,,,,,1.054,0,322.0,181.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-17,,,,,,,0.156,0,260.0,388.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-18,,,,,,,0.479,0,196.0,554.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-19,,,,,,,4.452,0,168.0,577.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-22,,,,,,,1.286,0,266.0,369.0,0,0,,,,,,,,,,,,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-23,36.78,,,,,,2.704,0,366.0,155.0,0,0,,41.837,,,49.324,,,42.0,,,32.517,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-24,26.141,,,,,,0.142,0,298.0,247.0,0,0,,32.653,,,35.811,,,32.8,,,21.81,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-25,16.471,,,,,,0.166,0,199.0,455.0,61,7,,15.306,,,25.676,,,19.6,,,14.12,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-26,22.981,,,,,,6.948,0,198.0,476.0,59,10,31.25,31.0,,,33.333,,,29.2,,,18.497,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-30,31.209,,,,,,5.439,0,304.0,391.0,48,17,33.333,47.0,,,47.619,,,39.2,,,24.309,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-03-31,33.065,,,-3.715,,,1.159,0,386.0,194.0,53,19,50.0,43.0,,,46.622,,,44.177,,,26.413,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
2021-04-01,52.786,,,26.645,,,5.642,0,631.0,162.0,51,14,80.0,60.0,,,66.892,,,60.643,,,47.29,,,50.074,Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,75,Selective
