Date,Symbol,EntryPrice,StopPrice7Pct,TargetPrice25Pct,ForwardReturn10D,ForwardReturn20D,ForwardReturn30D,MaxFavorableMove30D,MaxAdverseMove30D,TargetDay,StopDay,TradeResult,TradeReturnRuleBased
2021-03-23,AAVAS-EQ,2405.45,2237.068,3006.812,-0.661,-7.049,-8.188,4.721,-11.694,,12.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-23,ACC-EQ,1913.75,1779.788,2392.188,3.548,-3.605,-1.466,5.701,-6.871,,,NEITHER_IN_30D,-1.466
2021-03-23,ALEMBICLTD-EQ,113.4,105.462,141.75,-7.231,-1.014,17.637,26.367,-12.698,,2.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-23,ALKYLAMINE-EQ,2333.34,2170.006,2916.675,5.442,16.227,41.984,50.857,-8.399,,2.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-23,AMBUJACEM-EQ,304.45,283.138,380.562,5.37,-0.361,2.266,8.359,-6.29,,,NEITHER_IN_30D,2.266
2021-03-23,ATUL-EQ,7024.6,6532.878,8780.75,13.503,17.681,17.052,22.569,-2.627,,,NEITHER_IN_30D,17.052
2021-03-23,BANDHANBNK-EQ,364.65,339.124,455.812,-2.633,-14.123,-18.84,1.741,-21.843,,4.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-23,BERGEPAINT-EQ,620.42,576.991,775.525,2.41,-2.969,-2.869,3.828,-7.173,,18.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-23,BIL-EQ,163.0,151.59,203.75,36.994,16.963,28.282,52.761,-6.411,7.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-23,EBBETF0431-EQ,1005.05,934.696,1256.312,2.244,2.423,3.025,3.179,0.085,,,NEITHER_IN_30D,3.025
2021-03-23,ICRA-EQ,3471.2,3228.216,4339.0,2.066,-8.814,-6.557,14.793,-9.772,,7.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-23,LIQUIDIETF-EQ,1000.0,930.0,1250.0,0.0,0.0,-0.04,0.005,-0.9,,,NEITHER_IN_30D,-0.04
2021-03-23,METROPOLIS-EQ,514.56,478.541,643.2,15.732,13.501,10.84,26.564,-3.745,12.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-23,PIDILITIND-EQ,894.03,831.448,1117.538,6.574,2.746,3.288,7.854,-1.961,,,NEITHER_IN_30D,3.288
2021-03-23,ROSSARI-EQ,1111.3,1033.509,1389.125,2.137,1.012,12.976,21.349,-9.534,,2.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-23,TCI-EQ,265.1,246.543,331.375,0.472,0.396,7.676,9.77,-9.091,,2.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-24,21STCENMGM-EQ,15.0,13.95,18.75,-13.667,-19.333,-12.333,2.0,-22.0,,4.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-24,AARTIIND-EQ,575.15,534.89,718.938,6.525,18.573,31.129,37.703,-2.434,24.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-24,GRPLTD-EQ,217.21,202.005,271.512,-1.372,-7.932,8.526,16.017,-10.732,,2.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-24,LICNETFSEN-EQ,550.58,512.039,688.225,1.348,-6.826,-2.421,12.609,-10.286,,12.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-24,NIBL-EQ,15.75,14.647,19.688,61.905,19.365,52.063,69.841,0.0,5.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-24,PRIVISCL-EQ,798.4,742.512,998.0,14.517,11.348,35.308,37.569,-0.946,25.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-24,TCI-EQ,269.85,250.96,337.312,4.447,-1.149,5.392,7.838,-10.691,,1.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-24,WHEELS-EQ,482.2,448.446,602.75,-6.626,-9.882,-2.167,3.194,-16.031,,4.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-24,ZYDUSWELL-EQ,395.73,368.029,494.662,6.009,6.274,6.671,16.19,-2.711,,,NEITHER_IN_30D,6.671
2021-03-25,ABBOTINDIA-EQ,14893.3,13850.769,18616.625,1.05,1.877,8.494,9.438,-2.063,,,NEITHER_IN_30D,8.494
2021-03-25,ATUL-EQ,7090.7,6594.351,8863.375,9.57,18.851,16.398,21.427,-2.675,,,NEITHER_IN_30D,16.398
2021-03-25,BBOX-EQ,232.71,216.42,290.888,25.873,42.577,21.692,50.402,-1.59,6.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-25,LIQUIDIETF-EQ,1000.0,930.0,1250.0,0.0,0.0,0.0,0.005,-0.9,,,NEITHER_IN_30D,0.0
2021-03-26,BALKRISIND-EQ,1648.8,1533.384,2061.0,1.519,7.06,14.999,19.178,-5.871,,,NEITHER_IN_30D,14.999
2021-03-26,BBOX-EQ,234.71,218.28,293.388,19.228,38.562,16.599,49.12,-1.564,5.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-26,GODREJCP-EQ,710.25,660.532,887.812,1.866,-1.147,19.93,25.59,-3.203,29.0,,TARGET_25_BEFORE_STOP,25.0
2021-03-26,LIQUIDETF-EQ,1000.0,930.0,1250.0,0.0,0.001,0.0,0.001,-12.3,,26.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-26,NBIFIN-EQ,1871.95,1740.914,2339.938,-10.425,4.704,6.977,8.977,-13.168,,9.0,STOP_7_BEFORE_TARGET,-7.0
2021-03-30,ABBOTINDIA-EQ,15086.5,14030.445,18858.125,-1.105,0.433,7.493,8.037,-3.318,,,NEITHER_IN_30D,7.493
