Date,Symbol,EntryPrice,Result15Before7,DecisionDay15Before7,Target18BeforeStop7,Target18DecisionDay,Target25BeforeStop7,Target25DecisionDay,Target30BeforeStop7,Target30DecisionDay,CloseReturn5D,CloseReturn10D,CloseReturn15D,CloseReturn20D,CloseReturn30D,RuleBasedReturn
2022-07-19,20MICRONS-EQ,75.75,SUCCESS,4.0,SUCCESS,4.0,SUCCESS,4.0,SUCCESS,9.0,20.13201320132014,31.485148514851467,43.03630363036304,38.6138613861386,40.132013201320134,15.0
2022-07-22,20MICRONS-EQ,81.85,SUCCESS,1.0,SUCCESS,1.0,SUCCESS,6.0,SUCCESS,10.0,10.07941356139279,32.070861331704336,32.25412339645695,32.86499694563227,27.855833842394652,15.0
2022-07-25,20MICRONS-EQ,94.15,SUCCESS,9.0,SUCCESS,10.0,SUCCESS,20.0,TIMEOUT,,10.143388210302696,18.05629314922994,16.46309081253319,22.251725969198066,12.002124269782266,15.0
2022-11-15,20MICRONS-EQ,98.1,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,STOPPED_OUT,4.0,-6.931702344546375,-4.9949031600407645,-4.383282364933738,0.1529051987767538,-10.040774719673795,-7.0
2022-12-07,20MICRONS-EQ,98.85,STOPPED_OUT,10.0,STOPPED_OUT,10.0,STOPPED_OUT,10.0,STOPPED_OUT,10.0,-2.0738492665654973,-8.851795649974715,-9.458775923115825,-7.486090035407178,-9.104704097116844,-7.0
2023-05-12,20MICRONS-EQ,85.55,SUCCESS,9.0,SUCCESS,10.0,TIMEOUT,,TIMEOUT,,-2.337814143775574,9.175920514319124,5.727644652250152,12.974868497954418,8.533021624780822,15.0
2023-05-23,20MICRONS-EQ,87.75,SUCCESS,3.0,SUCCESS,16.0,TIMEOUT,,TIMEOUT,,3.7606837606837473,12.307692307692308,10.427350427350435,12.70655270655272,6.267806267806275,15.0
2023-05-24,20MICRONS-EQ,91.85,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,0.4354926510615087,5.389221556886237,9.417528579205236,9.853021230266744,2.1774632553075657,2.1774632553075657
2023-07-20,20MICRONS-EQ,102.0,SUCCESS,5.0,SUCCESS,5.0,TIMEOUT,,TIMEOUT,,19.6078431372549,7.647058823529407,12.303921568627452,10.147058823529399,12.745098039215685,15.0
2023-07-24,20MICRONS-EQ,106.15,SUCCESS,30.0,SUCCESS,30.0,TIMEOUT,,TIMEOUT,,9.844559585492219,1.0362694300518172,9.279321714554879,3.862458784738565,19.40650023551578,15.0
2023-07-25,20MICRONS-EQ,111.45,SUCCESS,30.0,SUCCESS,30.0,TIMEOUT,,TIMEOUT,,2.5572005383579954,-1.166442350829966,3.1852848811126044,-1.0318528488111323,19.380888290713337,15.0
