Model,Features,Threshold,Trades,Success15Before7Pct,Stop7Before15Pct,AverageRuleBasedReturnPct,Average20DayReturnPct
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,50,35618,30.061,42.709,2.256,3.304
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,55,32571,30.073,42.4,2.287,3.311
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,60,28808,30.28,42.197,2.308,3.405
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,65,24467,31.075,41.01,2.514,3.699
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,70,20322,31.04,40.769,2.535,3.892
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,75,16979,31.297,40.432,2.596,4.062
Top_3_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA,80,12652,31.299,40.183,2.621,4.223
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,50,37387,29.641,44.304,2.05,3.181
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,55,32226,29.886,43.667,2.141,3.202
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,60,27629,30.522,43.049,2.282,3.387
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,65,22773,30.624,42.66,2.31,3.567
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,70,17460,31.26,40.979,2.559,3.995
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,75,13849,31.439,40.241,2.643,4.095
Top_4_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA,80,10612,30.692,41.679,2.376,3.97
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,50,36602,29.963,43.697,2.145,3.19
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,55,32443,29.757,43.88,2.1,3.107
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,60,28222,30.023,43.806,2.114,3.223
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,65,23646,30.441,43.086,2.235,3.412
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,70,18282,30.965,42.085,2.408,3.624
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,75,14143,30.927,41.335,2.454,3.871
Top_5_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA,80,10574,30.462,41.763,2.333,4.022
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,50,38108,29.485,44.951,1.959,3.03
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,55,32191,29.751,44.155,2.07,3.092
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,60,27258,30.043,44.53,2.067,3.17
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,65,22441,30.894,43.296,2.295,3.565
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,70,17874,30.681,42.738,2.304,3.57
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,75,13454,30.058,42.731,2.212,3.683
Top_6_Equal,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA,80,9427,30.179,43.344,2.145,3.809
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,50,35618,30.061,42.709,2.256,3.304
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,55,32571,30.073,42.4,2.287,3.311
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA,60,28808,30.28,42.197,2.308,3.405
