Date,BreakoutsThatDay,Target15BeforeStop7Pct,Stop7BeforeTarget15Pct,Target18BeforeStop7Pct,Target25BeforeStop7Pct,Target30BeforeStop7Pct,Average10DayReturnPct,Average20DayReturnPct,AverageRuleBasedReturnPct
2021-03-23,16,18.75,50.0,18.75,12.5,6.25,5.373,2.063,-0.245
2021-03-24,9,44.444,55.556,33.333,33.333,33.333,8.121,1.16,2.778
2021-03-25,4,50.0,0.0,50.0,25.0,25.0,9.123,15.826,9.624
2021-03-26,5,60.0,40.0,60.0,40.0,20.0,2.438,9.836,6.2
2021-03-30,16,37.5,50.0,25.0,12.5,12.5,1.653,4.072,2.296
2021-03-31,15,26.667,53.333,26.667,13.333,6.667,-2.625,-0.277,0.383
2021-04-01,13,46.154,30.769,30.769,15.385,15.385,2.3,5.951,4.954
2021-04-05,16,43.75,43.75,37.5,25.0,18.75,-0.183,5.449,3.715
2021-04-06,23,39.13,39.13,39.13,34.783,21.739,3.026,7.823,3.945
2021-04-07,31,32.258,35.484,25.806,19.355,19.355,2.384,9.693,3.153
2021-04-08,27,22.222,59.259,22.222,22.222,14.815,-1.818,7.925,-0.392
2021-04-09,46,26.087,50.0,21.739,8.696,4.348,-0.774,6.17,1.643
2021-04-12,11,0.0,27.273,0.0,0.0,0.0,0.855,1.447,0.41
2021-04-13,8,62.5,0.0,50.0,12.5,12.5,2.887,6.943,8.408
2021-04-15,12,50.0,33.333,50.0,41.667,41.667,5.278,9.719,5.488
2021-04-16,24,50.0,33.333,41.667,37.5,29.167,5.858,9.006,5.433
2021-04-19,23,34.783,26.087,21.739,17.391,17.391,1.189,6.837,3.944
2021-04-20,12,58.333,16.667,41.667,16.667,16.667,4.333,8.12,8.02
2021-04-22,12,41.667,16.667,41.667,16.667,8.333,1.067,4.726,6.302
2021-04-23,16,25.0,25.0,18.75,18.75,12.5,5.744,8.232,4.439
2021-04-26,22,40.909,22.727,31.818,18.182,13.636,6.335,9.782,5.814
2021-04-27,21,47.619,23.81,42.857,19.048,4.762,4.661,7.32,6.288
2021-04-28,31,51.613,32.258,38.71,32.258,29.032,3.867,12.915,6.218
2021-04-29,28,60.714,14.286,53.571,42.857,35.714,4.542,13.803,9.468
2021-04-30,27,74.074,14.815,62.963,48.148,40.741,8.512,13.244,10.99
2021-05-03,32,62.5,9.375,50.0,40.625,28.125,5.875,9.758,10.309
2021-05-04,25,64.0,8.0,60.0,44.0,36.0,7.264,13.589,10.071
2021-05-05,34,50.0,17.647,38.235,38.235,29.412,5.322,11.625,7.004
2021-05-06,39,46.154,25.641,41.026,17.949,15.385,2.29,8.354,5.938
2021-05-07,38,65.789,13.158,60.526,44.737,39.474,6.433,15.675,10.093
2021-05-10,70,55.714,12.857,47.143,37.143,31.429,5.805,13.429,8.63
2021-05-11,107,57.944,11.215,52.336,38.318,32.71,6.215,13.928,9.04
2021-05-12,81,60.494,17.284,54.321,37.037,29.63,6.464,15.826,8.7
2021-05-14,52,71.154,3.846,61.538,46.154,36.538,8.031,16.905,11.092
2021-05-17,75,60.0,16.0,52.0,38.667,30.667,6.871,12.968,8.367
2021-05-18,111,54.054,17.117,46.847,26.126,21.622,6.447,14.146,7.757
2021-05-19,94,60.638,13.83,50.0,32.979,28.723,7.935,14.105,8.757
2021-05-20,78,65.385,17.949,55.128,42.308,33.333,8.251,13.825,8.92
2021-05-21,90,45.556,24.444,42.222,24.444,18.889,6.396,6.97,5.99
2021-05-24,116,49.138,18.966,43.103,29.31,19.828,7.458,7.227,7.437
2021-05-25,90,54.444,21.111,42.222,30.0,20.0,6.825,9.607,7.643
2021-05-26,79,50.633,24.051,40.506,29.114,20.253,5.834,8.886,6.69
2021-05-27,78,34.615,17.949,25.641,15.385,11.538,5.235,6.658,5.639
2021-05-28,47,42.553,14.894,36.17,25.532,17.021,8.331,8.503,5.782
2021-05-31,50,32.0,20.0,28.0,14.0,14.0,5.217,4.536,5.039
2021-06-01,31,61.29,16.129,54.839,32.258,25.806,10.02,9.569,8.777
2021-06-02,50,48.0,34.0,38.0,26.0,18.0,5.453,10.111,5.775
2021-06-03,76,35.526,27.632,26.316,21.053,13.158,2.37,4.371,4.586
2021-06-04,80,35.0,35.0,27.5,22.5,15.0,2.439,5.705,3.508
2021-06-07,97,28.866,38.144,21.649,16.495,13.402,1.792,4.815,2.386
2021-06-08,90,17.778,40.0,13.333,10.0,8.889,0.466,2.545,0.342
2021-06-09,62,35.484,27.419,25.806,17.742,14.516,0.758,4.505,3.831
2021-06-10,59,16.949,50.847,15.254,13.559,8.475,-0.903,3.293,0.088
2021-06-11,60,26.667,43.333,25.0,15.0,10.0,0.837,2.508,1.112
2021-06-14,50,32.0,50.0,28.0,22.0,16.0,3.878,5.442,1.962
2021-06-15,53,28.302,52.83,22.642,11.321,5.66,-0.345,3.48,0.79
2021-06-16,25,24.0,52.0,20.0,16.0,12.0,-0.445,2.047,-0.141
2021-06-17,23,30.435,30.435,21.739,13.043,13.043,2.754,4.586,3.704
2021-06-18,27,55.556,7.407,48.148,29.63,29.63,9.981,9.439,8.679
2021-06-21,22,27.273,45.455,18.182,13.636,9.091,2.015,1.728,1.247
2021-06-22,19,36.842,36.842,26.316,15.789,10.526,3.22,4.288,3.632
2021-06-23,30,20.0,40.0,13.333,10.0,10.0,3.852,1.671,0.433
2021-06-24,22,27.273,36.364,27.273,13.636,9.091,2.23,2.694,2.39
2021-06-25,31,32.258,29.032,32.258,29.032,16.129,2.876,5.247,3.796
2021-06-28,27,55.556,29.63,44.444,22.222,14.815,4.825,6.144,6.658
2021-06-29,32,50.0,31.25,31.25,18.75,12.5,4.659,7.235,5.38
2021-06-30,42,45.238,35.714,40.476,30.952,16.667,4.793,6.852,4.933
2021-07-01,31,48.387,35.484,45.161,38.71,25.806,6.438,10.668,4.888
2021-07-02,51,45.098,39.216,35.294,27.451,23.529,4.157,9.824,4.176
2021-07-05,70,51.429,38.571,44.286,28.571,21.429,4.689,10.023,5.122
2021-07-06,57,49.123,28.07,38.596,15.789,10.526,2.603,5.89,6.109
2021-07-07,42,38.095,45.238,30.952,19.048,14.286,3.946,0.936,2.674
2021-07-08,34,50.0,44.118,32.353,20.588,11.765,2.762,6.524,4.318
2021-07-09,45,60.0,31.111,53.333,28.889,22.222,7.031,8.092,6.89
2021-07-12,88,45.455,46.591,35.227,14.773,7.955,4.952,1.349,3.718
2021-07-13,106,32.075,57.547,25.472,14.151,7.547,2.328,-2.492,0.889
2021-07-14,72,34.722,51.389,26.389,13.889,6.944,2.32,1.044,2.134
2021-07-15,82,31.707,48.78,25.61,10.976,8.537,2.093,1.574,2.199
2021-07-16,71,26.761,53.521,22.535,12.676,11.268,2.699,-1.226,1.418
2021-07-19,63,30.159,57.143,19.048,7.937,7.937,2.526,-1.741,0.715
2021-07-20,37,29.73,48.649,21.622,13.514,8.108,2.304,-2.181,1.826
2021-07-22,45,33.333,46.667,31.111,15.556,8.889,1.851,-1.175,3.171
2021-07-23,49,36.735,42.857,22.449,18.367,18.367,2.518,-3.003,3.185
2021-07-26,54,38.889,50.0,33.333,18.519,11.111,1.197,-3.157,2.865
2021-07-27,56,23.214,58.929,16.071,10.714,5.357,-2.855,-3.706,0.585
2021-07-28,40,20.0,57.5,20.0,7.5,5.0,-1.107,-1.974,-0.436
2021-07-29,54,25.926,68.519,22.222,9.259,5.556,-1.47,-3.169,-0.604
2021-07-30,52,23.077,57.692,17.308,5.769,3.846,-1.053,-1.969,-0.087
2021-08-02,62,19.355,72.581,17.742,11.29,8.065,-3.008,-1.636,-1.72
2021-08-03,70,18.571,70.0,12.857,5.714,1.429,-4.15,-2.977,-1.528
2021-08-04,42,7.143,69.048,4.762,2.381,2.381,-3.826,-2.221,-2.278
2021-08-05,28,42.857,35.714,35.714,17.857,14.286,0.135,5.023,5.32
2021-08-06,26,34.615,38.462,19.231,7.692,7.692,-2.029,3.879,3.724
2021-08-09,28,35.714,60.714,35.714,14.286,14.286,-0.79,7.175,1.493
2021-08-10,18,50.0,27.778,38.889,22.222,16.667,4.264,10.727,7.02
2021-08-11,11,45.455,36.364,45.455,18.182,9.091,1.647,5.208,4.764
2021-08-12,16,31.25,43.75,31.25,6.25,6.25,-1.762,6.029,2.921
2021-08-13,18,11.111,33.333,11.111,0.0,0.0,-0.856,0.678,1.418
2021-08-16,17,52.941,35.294,47.059,17.647,11.765,4.715,11.169,5.504
2021-08-17,22,31.818,18.182,22.727,22.727,18.182,3.052,7.286,4.597
2021-08-18,17,47.059,23.529,41.176,23.529,17.647,7.993,5.42,6.536
2021-08-20,13,38.462,7.692,38.462,23.077,15.385,9.656,8.859,6.256
2021-08-23,17,58.824,5.882,52.941,35.294,23.529,8.693,18.799,9.95
2021-08-24,12,50.0,8.333,50.0,25.0,8.333,8.542,4.984,9.539
2021-08-25,15,40.0,0.0,40.0,20.0,13.333,8.85,15.563,8.224
2021-08-26,21,42.857,19.048,28.571,23.81,23.81,7.486,9.494,6.044
2021-08-27,24,33.333,12.5,29.167,20.833,20.833,5.619,6.175,5.803
2021-08-30,38,44.737,15.789,36.842,26.316,23.684,4.668,5.652,6.794
2021-08-31,53,33.962,22.642,28.302,15.094,9.434,4.515,4.266,5.753
2021-09-01,34,35.294,20.588,32.353,11.765,5.882,4.249,5.229,5.817
2021-09-02,46,34.783,36.957,32.609,13.043,10.87,1.676,5.474,3.94
2021-09-03,42,40.476,26.19,28.571,16.667,9.524,-0.221,3.617,4.841
2021-09-06,40,35.0,30.0,17.5,12.5,5.0,0.028,4.027,3.831
2021-09-07,39,33.333,30.769,25.641,23.077,15.385,2.302,3.967,3.395
2021-09-08,42,33.333,35.714,26.19,23.81,16.667,2.173,8.071,3.148
2021-09-09,45,33.333,48.889,33.333,24.444,22.222,1.315,8.079,1.729
2021-09-13,59,33.898,49.153,32.203,23.729,22.034,2.47,8.813,1.516
2021-09-14,75,33.333,54.667,30.667,18.667,16.0,0.843,9.999,1.31
2021-09-15,122,39.344,53.279,34.426,20.492,11.475,0.737,6.768,2.364
2021-09-16,120,26.667,59.167,23.333,12.5,8.333,0.532,7.565,-0.051
2021-09-17,76,23.684,56.579,19.737,10.526,9.211,1.463,9.648,-0.177
2021-09-20,25,48.0,28.0,40.0,36.0,24.0,6.476,10.425,5.487
2021-09-21,28,64.286,17.857,57.143,42.857,35.714,8.061,9.32,8.683
2021-09-22,48,37.5,50.0,33.333,25.0,22.917,4.753,5.502,2.326
2021-09-23,61,39.344,44.262,34.426,18.033,11.475,3.764,3.596,3.681
2021-09-24,51,39.216,47.059,33.333,21.569,13.725,4.317,-0.224,2.917
2021-09-27,60,50.0,35.0,41.667,20.0,11.667,5.24,3.339,5.193
2021-09-28,40,47.5,35.0,30.0,10.0,10.0,6.429,1.469,4.975
2021-09-29,55,54.545,32.727,45.455,27.273,16.364,7.721,1.851,5.976
2021-09-30,53,49.057,33.962,35.849,24.528,16.981,7.919,3.543,5.306
2021-10-01,41,56.098,31.707,43.902,31.707,19.512,9.092,5.628,6.075
2021-10-04,63,22.222,68.254,17.46,11.111,7.937,1.304,-0.85,-1.619
2021-10-05,74,22.973,59.459,22.973,16.216,10.811,-0.003,0.548,-1.12
2021-10-06,58,29.31,56.897,24.138,12.069,8.621,-0.088,0.587,0.531
2021-10-07,60,31.667,53.333,23.333,15.0,8.333,-1.715,0.961,1.182
2021-10-08,69,30.435,65.217,24.638,13.043,10.145,-4.731,0.492,-0.027
2021-10-11,87,22.989,72.414,20.69,12.644,9.195,-2.489,2.186,-1.638
2021-10-12,87,21.839,67.816,20.69,9.195,8.046,-1.79,2.276,-1.821
2021-10-13,103,18.447,76.699,12.621,4.854,2.913,-5.549,-0.003,-2.683
2021-10-14,90,10.0,78.889,6.667,1.111,1.111,-6.607,-4.198,-4.412
2021-10-18,111,9.009,88.288,7.207,3.604,2.703,-3.819,-1.488,-4.854
2021-10-19,52,9.615,84.615,9.615,5.769,5.769,-3.597,0.06,-4.46
2021-10-20,19,10.526,78.947,5.263,0.0,0.0,0.184,-1.173,-3.71
2021-10-21,23,13.043,78.261,8.696,8.696,8.696,0.35,0.786,-3.921
2021-10-22,27,14.815,85.185,11.111,11.111,11.111,0.366,-3.219,-3.741
2021-10-25,24,12.5,75.0,12.5,8.333,8.333,1.733,0.458,-3.396
2021-10-26,14,14.286,64.286,14.286,0.0,0.0,-0.1,-3.519,-2.209
2021-10-27,14,42.857,50.0,35.714,35.714,35.714,6.751,10.025,2.746
2021-10-28,10,60.0,30.0,60.0,30.0,20.0,13.195,9.405,6.9
2021-10-29,15,40.0,46.667,26.667,20.0,20.0,5.559,1.744,3.104
2021-11-01,14,42.857,50.0,35.714,21.429,14.286,6.627,2.922,2.657
2021-11-02,14,35.714,57.143,28.571,14.286,7.143,3.327,-2.057,1.943
2021-11-03,11,27.273,72.727,27.273,18.182,9.091,0.373,-2.148,-1.0
2021-11-04,1,0.0,100.0,0.0,0.0,0.0,-0.709,-3.661,-7.0
2021-11-08,29,6.897,93.103,6.897,3.448,3.448,-6.553,-11.745,-5.483
2021-11-09,35,20.0,74.286,20.0,11.429,8.571,-3.698,-3.144,-2.18
2021-11-10,29,13.793,75.862,13.793,13.793,13.793,-3.221,-0.176,-3.114
2021-11-11,33,18.182,63.636,18.182,12.121,3.03,-6.146,-3.566,-1.917
2021-11-12,21,28.571,57.143,23.81,14.286,9.524,-1.707,6.519,0.692
2021-11-15,36,27.778,55.556,25.0,13.889,13.889,-0.017,5.705,0.444
2021-11-16,33,15.152,75.758,9.091,3.03,3.03,-6.718,-1.816,-3.031
2021-11-17,35,5.714,91.429,5.714,5.714,5.714,-2.545,0.479,-5.483
2021-11-18,15,26.667,73.333,20.0,20.0,20.0,-3.989,-6.601,-1.133
2021-11-22,7,28.571,57.143,28.571,14.286,0.0,0.47,0.319,0.312
2021-11-23,10,50.0,30.0,50.0,40.0,40.0,11.913,5.329,6.301
2021-11-24,20,25.0,55.0,25.0,15.0,10.0,1.725,4.713,0.369
2021-11-25,17,17.647,47.059,11.765,5.882,5.882,6.493,-0.21,-0.499
2021-11-26,14,21.429,64.286,21.429,21.429,21.429,6.424,10.195,-1.415
2021-11-29,18,16.667,61.111,11.111,11.111,11.111,4.212,2.051,-1.616
2021-11-30,11,27.273,54.545,18.182,9.091,9.091,-2.022,0.164,0.105
2021-12-01,7,14.286,71.429,14.286,14.286,0.0,-3.379,-8.173,-2.489
2021-12-02,12,41.667,50.0,25.0,8.333,8.333,-1.076,3.026,2.989
2021-12-03,7,28.571,57.143,28.571,14.286,14.286,1.302,14.128,-0.31
2021-12-06,6,16.667,83.333,16.667,16.667,16.667,-15.653,-3.028,-3.333
2021-12-07,8,25.0,62.5,25.0,0.0,0.0,-8.345,-4.889,-0.169
2021-12-08,9,11.111,66.667,11.111,11.111,11.111,-6.669,0.332,-1.157
2021-12-09,19,15.789,68.421,15.789,15.789,10.526,-1.419,6.321,-1.509
2021-12-10,32,21.875,68.75,21.875,15.625,12.5,-1.87,8.387,-1.42
2021-12-13,22,13.636,86.364,9.091,9.091,4.545,-1.898,2.992,-4.0
2021-12-14,24,16.667,75.0,16.667,12.5,8.333,-0.647,7.326,-2.856
2021-12-15,23,21.739,78.261,21.739,17.391,17.391,-0.811,8.107,-2.217
2021-12-16,23,17.391,82.609,17.391,17.391,13.043,4.88,18.691,-3.174
2021-12-17,20,30.0,55.0,20.0,15.0,15.0,10.975,17.756,1.168
2021-12-20,6,66.667,0.0,50.0,50.0,50.0,23.202,39.978,11.276
2021-12-21,9,11.111,66.667,11.111,11.111,0.0,3.708,6.556,-3.388
2021-12-22,10,40.0,40.0,40.0,30.0,10.0,6.812,3.403,2.781
2021-12-23,18,22.222,61.111,16.667,11.111,0.0,-0.644,-3.142,-0.044
2021-12-24,18,27.778,61.111,22.222,11.111,11.111,-1.173,-3.658,0.151
2021-12-27,27,37.037,37.037,33.333,11.111,11.111,2.814,-4.22,2.951
2021-12-28,32,34.375,56.25,21.875,12.5,12.5,6.255,-1.697,1.261
2021-12-29,41,24.39,51.22,21.951,14.634,12.195,2.148,-4.417,0.376
2021-12-30,43,20.93,62.791,16.279,11.628,9.302,3.287,-2.992,-1.073
2021-12-31,47,27.66,65.957,17.021,12.766,10.638,3.132,-1.278,-0.556
2022-01-03,75,18.667,57.333,16.0,14.667,8.0,5.024,0.207,-1.421
2022-01-04,81,23.457,62.963,20.988,14.815,11.111,3.062,-1.792,-0.877
2022-01-05,73,15.068,76.712,12.329,8.219,4.11,1.062,-1.715,-3.191
2022-01-06,56,23.214,69.643,19.643,12.5,5.357,2.39,0.467,-1.437
2022-01-07,73,16.438,75.342,15.068,8.219,5.479,0.278,-1.008,-2.833
2022-01-10,114,15.789,72.807,14.035,6.14,5.263,-4.977,-2.065,-2.874
