Feature,Bucket,BreakoutTrades,Success15Before7Pct,Stop7Before15Pct,Target18BeforeStop7Pct,Target25BeforeStop7Pct,Target30BeforeStop7Pct,Average10DayReturnPct,Average20DayReturnPct,AverageRuleBasedReturnPct
PctAbove20EMA,Low,23715,22.467,50.824,17.993,10.947,7.961,0.477,0.939,0.377
PctAbove20EMA,Medium,23714,28.612,44.813,22.873,14.0,10.137,1.3,2.86,1.838
PctAbove20EMA,High,23715,28.32,44.609,22.538,13.742,9.774,1.178,2.816,1.903
PctAbove50EMA,Low,23503,22.244,49.266,17.555,10.467,7.544,0.52,1.209,0.533
PctAbove50EMA,Medium,23502,27.674,46.741,22.177,13.582,9.68,1.078,2.577,1.598
PctAbove50EMA,High,23503,28.975,44.722,23.21,14.258,10.322,1.286,2.646,1.873
PctAbove200EMA,Low,21255,21.985,44.695,17.031,9.668,6.676,0.474,1.291,0.99
PctAbove200EMA,Medium,21254,24.767,49.741,19.601,11.833,8.488,0.622,1.548,0.871
PctAbove200EMA,High,21255,29.273,47.109,23.656,14.994,10.953,1.375,2.859,1.707
Slope20EMA,Low,23698,25.918,48.506,20.58,12.596,9.081,1.039,1.798,1.103
Slope20EMA,Medium,23698,28.315,44.7,22.888,14.149,10.292,1.213,2.796,1.833
Slope20EMA,High,23698,25.146,47.042,19.917,11.929,8.486,0.695,2.017,1.18
Slope50EMA,Low,23375,25.425,48.783,20.111,12.295,8.886,0.976,1.601,1.013
Slope50EMA,Medium,23374,28.159,43.865,22.76,13.986,10.165,1.361,2.91,1.868
Slope50EMA,High,23374,24.75,48.644,19.543,11.594,8.12,0.454,1.718,0.995
Slope200EMA,Low,21228,23.478,50.292,18.593,11.457,8.282,0.717,1.199,0.582
Slope200EMA,Medium,21227,28.52,44.005,22.975,14.048,10.147,1.119,2.9,1.951
Slope200EMA,High,21228,24.03,47.174,18.716,10.967,7.66,0.616,1.546,1.042
VolumeRatio,Low,23715,25.798,48.56,20.738,12.798,9.264,0.935,1.987,1.074
VolumeRatio,Medium,23714,26.326,47.9,20.907,12.866,9.286,0.905,1.853,1.277
VolumeRatio,High,23715,27.274,43.787,21.758,13.026,9.323,1.115,2.775,1.767
Net52WHighLow,Low,23715,27.16,43.728,21.573,12.971,9.281,1.262,2.762,1.74
Net52WHighLow,Medium,23714,25.318,45.509,20.022,12.086,8.607,0.887,1.816,1.352
Net52WHighLow,High,23715,26.92,51.01,21.809,13.633,9.985,0.807,2.037,1.026
Rolling3DUp4,Low,23715,25.499,46.447,20.325,12.498,9.007,0.772,1.799,1.289
Rolling3DUp4,Medium,23714,27.507,45.547,22.054,13.481,9.804,1.232,2.556,1.613
Rolling3DUp4,High,23715,26.393,48.252,21.025,12.709,9.062,0.951,2.259,1.216
Rolling3DDown4,Low,23715,26.194,46.717,20.755,12.604,8.91,0.963,2.074,1.35
Rolling3DDown4,Medium,23714,28.747,45.07,23.193,14.219,10.243,1.208,2.804,1.89
Rolling3DDown4,High,23715,24.457,48.459,19.456,11.866,8.72,0.784,1.737,0.878
Up251MCount,Low,23715,22.463,47.835,17.626,10.614,7.658,0.457,1.407,0.701
Up251MCount,Medium,23714,28.852,44.687,23.358,14.072,9.965,1.249,2.885,1.904
Up251MCount,High,23715,28.083,47.725,22.42,14.004,10.251,1.249,2.322,1.513
Down251MCount,Low,23715,27.464,45.17,21.817,13.279,9.462,0.991,2.702,1.652
Down251MCount,Medium,23714,25.563,50.089,20.57,12.381,9.016,0.819,1.382,0.885
Down251MCount,High,23715,26.371,44.988,21.016,13.03,9.395,1.145,2.531,1.582
FollowThroughRate,Low,23705,25.725,48.8,20.629,12.841,9.302,1.028,1.783,1.021
FollowThroughRate,Medium,23705,26.965,47.813,21.595,13.132,9.652,0.798,2.237,1.382
FollowThroughRate,High,23705,26.703,43.636,21.173,12.706,8.91,1.122,2.592,1.714
LargePct20EMA,Low,23715,23.664,50.605,18.819,11.347,8.206,0.506,0.94,0.555
LargePct20EMA,Medium,23714,26.204,48.954,20.967,12.727,9.214,0.876,1.904,1.097
LargePct20EMA,High,23715,29.53,40.687,23.618,14.615,10.453,1.573,3.77,2.466
LargePct50EMA,Low,23503,23.035,49.772,18.227,10.833,7.799,0.46,0.981,0.621
LargePct50EMA,Medium,23502,25.181,50.03,20.028,12.131,8.735,0.702,1.527,0.873
LargePct50EMA,High,23503,30.677,40.927,24.686,15.343,11.011,1.722,3.924,2.509
LargePct200EMA,Low,21255,24.197,45.58,18.861,10.99,7.645,0.791,1.768,1.248
LargePct200EMA,Medium,21254,22.697,49.562,17.992,10.751,7.702,0.269,0.757,0.534
LargePct200EMA,High,21255,29.132,46.403,23.434,14.754,10.769,1.412,3.173,1.785
MidPct20EMA,Low,23715,23.441,50.411,18.786,11.448,8.303,0.604,1.037,0.534
MidPct20EMA,Medium,23714,26.71,48.752,21.287,12.862,9.362,0.865,2.223,1.168
MidPct20EMA,High,23715,29.247,41.084,23.331,14.379,10.209,1.486,3.355,2.416
MidPct50EMA,Low,23503,22.031,51.083,17.517,10.531,7.671,0.429,0.855,0.314
MidPct50EMA,Medium,23502,25.823,49.464,20.607,12.318,8.693,0.637,1.849,1.064
MidPct50EMA,High,23503,31.039,40.182,24.818,15.458,11.182,1.818,3.729,2.626
MidPct200EMA,Low,21255,24.178,45.627,19.064,11.31,7.904,0.84,1.727,1.192
MidPct200EMA,Medium,21254,22.744,50.268,17.898,10.506,7.561,0.149,0.65,0.509
MidPct200EMA,High,21255,29.104,45.65,23.326,14.679,10.652,1.482,3.321,1.866
SmallPct20EMA,Low,23715,22.867,50.154,18.318,11.208,8.189,0.517,1.118,0.496
SmallPct20EMA,Medium,23714,27.861,46.82,22.206,13.557,9.804,1.273,2.494,1.539
SmallPct20EMA,High,23715,28.67,43.272,22.88,13.924,9.88,1.166,3.003,2.082
SmallPct50EMA,Low,23503,22.21,49.13,17.568,10.548,7.697,0.385,1.405,0.549
SmallPct50EMA,Medium,23502,26.07,49.447,20.743,12.429,8.735,0.903,1.504,1.107
SmallPct50EMA,High,23503,30.613,42.152,24.631,15.33,11.113,1.596,3.524,2.347
SmallPct200EMA,Low,21255,23.326,44.437,18.278,10.67,7.415,0.629,1.742,1.183
SmallPct200EMA,Medium,21254,22.777,51.581,17.733,10.436,7.519,0.313,0.817,0.445
SmallPct200EMA,High,21255,29.922,45.528,24.277,15.389,11.183,1.53,3.138,1.94
MicroPct20EMA,Low,23715,22.766,50.141,18.183,11.035,8.054,0.566,1.157,0.487
MicroPct20EMA,Medium,23714,28.338,44.699,22.67,13.874,9.994,1.278,2.985,1.813
MicroPct20EMA,High,23715,28.294,45.406,22.551,13.78,9.825,1.112,2.473,1.818
MicroPct50EMA,Low,23503,22.397,49.275,17.738,10.594,7.676,0.534,1.303,0.549
MicroPct50EMA,Medium,23502,28.585,45.056,22.921,14.007,9.952,1.26,2.837,1.868
MicroPct50EMA,High,23503,27.911,46.398,22.282,13.705,9.918,1.09,2.293,1.586
MicroPct200EMA,Low,21255,22.108,44.361,17.097,9.612,6.62,0.476,1.304,1.037
MicroPct200EMA,Medium,21254,25.12,49.308,19.921,12.12,8.732,0.668,1.736,0.96
MicroPct200EMA,High,21255,28.798,47.876,23.27,14.764,10.765,1.328,2.658,1.57
