Feature,Trades,LowSuccess15Before7Pct,HighSuccess15Before7Pct,SuccessLiftPct,LowRuleBasedReturnPct,HighRuleBasedReturnPct,RuleReturnLiftPct
MidPct50EMA,70508,22.031,31.039,9.007,0.314,2.626,2.312
SmallPct50EMA,70508,22.21,30.613,8.403,0.549,2.347,1.798
LargePct50EMA,70508,23.035,30.677,7.642,0.621,2.509,1.888
PctAbove200EMA,63764,21.985,29.273,7.288,0.99,1.707,0.717
PctAbove50EMA,70508,22.244,28.975,6.731,0.533,1.873,1.34
MicroPct200EMA,63764,22.108,28.798,6.69,1.037,1.57,0.533
SmallPct200EMA,63764,23.326,29.922,6.596,1.183,1.94,0.758
LargePct20EMA,71144,23.664,29.53,5.865,0.555,2.466,1.91
PctAbove20EMA,71144,22.467,28.32,5.853,0.377,1.903,1.526
MidPct20EMA,71144,23.441,29.247,5.806,0.534,2.416,1.882
SmallPct20EMA,71144,22.867,28.67,5.802,0.496,2.082,1.586
Up251MCount,71144,22.463,28.083,5.621,0.701,1.513,0.812
MicroPct20EMA,71144,22.766,28.294,5.528,0.487,1.818,1.331
MicroPct50EMA,70508,22.397,27.911,5.514,0.549,1.586,1.037
LargePct200EMA,63764,24.197,29.132,4.935,1.248,1.785,0.537
MidPct200EMA,63764,24.178,29.104,4.926,1.192,1.866,0.674
Rolling3DDown4,71144,26.194,24.457,1.737,1.35,0.878,0.472
VolumeRatio,71144,25.798,27.274,1.476,1.074,1.767,0.693
Down251MCount,71144,27.464,26.371,1.092,1.652,1.582,0.07
FollowThroughRate,71115,25.725,26.703,0.979,1.021,1.714,0.694
Rolling3DUp4,71144,25.499,26.393,0.894,1.289,1.216,-0.073
Slope200EMA,63683,23.478,24.03,0.551,0.582,1.042,0.459
Net52WHighLow,71144,27.16,26.92,-0.24,1.74,1.026,-0.715
Slope50EMA,70123,25.425,24.75,-0.675,1.013,0.995,-0.017
Slope20EMA,71094,25.918,25.146,-0.772,1.103,1.18,0.076
