Item,Value
Price parquet rows,2518235
Breadth CSV rows,1351
Completed breakout trade records,71280
Price data first date,2021-02-23 00:00:00
Price data last date,2026-08-14 00:00:00
Breadth data first date,2021-02-23 00:00:00
Breadth data last date,2026-08-14 00:00:00
Available breadth features,25
Usable breadth features after merge,25
Breadth merge coverage percent,99.809
Available rows for PctAbove20EMA,71144
Available rows for PctAbove50EMA,70508
Available rows for PctAbove200EMA,63764
Available rows for Slope20EMA,71094
Available rows for Slope50EMA,70123
Available rows for Slope200EMA,63683
Available rows for VolumeRatio,71144
Available rows for Net52WHighLow,71144
Available rows for Rolling3DUp4,71144
Available rows for Rolling3DDown4,71144
Available rows for Up251MCount,71144
Available rows for Down251MCount,71144
Available rows for FollowThroughRate,71115
Available rows for LargePct20EMA,71144
Available rows for LargePct50EMA,70508
Available rows for LargePct200EMA,63764
Available rows for MidPct20EMA,71144
Available rows for MidPct50EMA,70508
Available rows for MidPct200EMA,63764
Available rows for SmallPct20EMA,71144
Available rows for SmallPct50EMA,70508
Available rows for SmallPct200EMA,63764
Available rows for MicroPct20EMA,71144
Available rows for MicroPct50EMA,70508
Available rows for MicroPct200EMA,63764
