Model,Features,Threshold,Folds,TotalTrades,AverageSuccessPct,AverageStopPct,AverageRuleBasedReturnPct,Average20DayReturnPct,QualityScore
Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,LargePct50EMA | PctAbove200EMA | SmallPct200EMA,75,2,14346,30.103,44.247,2.164,3.526,2.342
Mix_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,LargePct50EMA | MicroPct200EMA | SmallPct200EMA,75,2,14186,29.988,44.636,2.113,3.462,2.274
Mix_MidPct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | SmallPct200EMA,75,2,12432,30.037,44.483,2.084,3.585,2.252
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,75,2,12516,29.986,44.555,2.071,3.534,2.234
Mix_LargePct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,LargePct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,75,2,14054,29.659,44.717,2.056,3.394,2.197
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | SmallPct200EMA,80,2,9629,29.943,44.735,2.034,3.546,2.189
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | SmallPct200EMA,80,2,8538,29.964,44.869,2.034,3.517,2.186
Mix_MidPct50EMA_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | MicroPct200EMA | SmallPct200EMA,80,2,8505,29.915,44.934,2.025,3.523,2.173
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,75,2,13463,29.737,45.078,2.016,3.459,2.15
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,8692,29.893,44.997,1.997,3.536,2.141
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | MicroPct200EMA | SmallPct200EMA,80,2,8931,29.709,44.998,1.992,3.455,2.127
Mix_MidPct50EMA_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | LargePct50EMA | PctAbove200EMA | SmallPct200EMA,80,2,8931,29.709,44.998,1.992,3.455,2.127
Mix_MidPct50EMA_SmallPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9517,29.68,45.004,1.967,3.449,2.101
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,8254,29.708,45.367,1.965,3.512,2.089
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,75,2,12419,29.574,45.163,1.965,3.51,2.089
Mix_SmallPct50EMA_LargePct50EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | SmallPct200EMA,80,2,10164,28.655,44.213,1.926,3.338,2.033
Mix_MidPct50EMA_PctAbove200EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | SmallPct200EMA,80,2,9294,29.242,45.441,1.891,3.458,1.99
Mix_MidPct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,75,2,13341,29.251,45.569,1.894,3.315,1.989
Mix_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,LargePct50EMA | PctAbove200EMA | SmallPct200EMA,80,2,9998,29.189,46.02,1.885,3.376,1.964
Mix_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,LargePct50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9895,29.12,45.985,1.881,3.368,1.958
Mix_MidPct50EMA_LargePct50EMA_PctAbove200EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | LargePct50EMA | PctAbove200EMA | MicroPct200EMA | SmallPct200EMA,80,2,8787,29.262,45.835,1.86,3.353,1.948
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | SmallPct200EMA,80,2,8747,29.309,45.699,1.832,3.328,1.926
Mix_MidPct50EMA_SmallPct50EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,80,2,8503,29.363,45.773,1.828,3.351,1.923
Mix_MidPct50EMA_MicroPct200EMA_SmallPct200EMA,MidPct50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9115,29.061,45.817,1.832,3.343,1.911
Mix_MidPct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | PctAbove200EMA | MicroPct200EMA,75,2,11833,28.993,45.932,1.822,3.289,1.893
Mix_MidPct50EMA_SmallPct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | SmallPct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,8985,29.141,45.831,1.81,3.288,1.892
Mix_SmallPct50EMA_LargePct50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | MicroPct200EMA | SmallPct200EMA,80,2,9259,29.135,46.204,1.814,3.27,1.885
Mix_SmallPct50EMA_LargePct50EMA_PctAbove200EMA_SmallPct200EMA,SmallPct50EMA | LargePct50EMA | PctAbove200EMA | SmallPct200EMA,80,2,9259,29.135,46.204,1.814,3.27,1.885
Mix_SmallPct50EMA_PctAbove200EMA_PctAbove50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | PctAbove50EMA | MicroPct200EMA | SmallPct200EMA,75,2,12313,29.054,46.178,1.811,3.36,1.878
Mix_SmallPct50EMA_MicroPct200EMA_SmallPct200EMA,SmallPct50EMA | MicroPct200EMA | SmallPct200EMA,75,2,13462,29.127,46.292,1.804,3.323,1.872
Mix_MidPct50EMA_PctAbove200EMA_MicroPct200EMA,MidPct50EMA | PctAbove200EMA | MicroPct200EMA,80,2,8789,28.929,46.066,1.79,3.364,1.855
Mix_SmallPct50EMA_PctAbove200EMA_SmallPct200EMA,SmallPct50EMA | PctAbove200EMA | SmallPct200EMA,75,2,13681,29.035,46.485,1.776,3.272,1.833
