Symbol,Date,Stored_Close,Fresh_Close,Difference_Pct
AMBIKCO,2026-09-15,1579.6,1543.5,2.285388706001514
AMBIKCO,2026-09-16,1564.9,1529.1,2.28768611412871
AMBIKCO,2026-09-17,1568.8,1533.0,2.281998980112185
AMBIKCO,2026-09-18,1602.0,1565.4,2.284644194756549
GOCLCORP,2026-09-15,435.65,406.85,6.610811431194756
GOCLCORP,2026-09-16,428.4,400.05,6.617647058823521
GOCLCORP,2026-09-17,456.15,425.95,6.620629178998135
GOCLCORP,2026-09-18,446.1,416.6,6.61286707016364
GTPL,2026-09-15,57.83,55.8,3.5102887774511515
GTPL,2026-09-16,56.46,54.48,3.5069075451647254
GTPL,2026-09-17,56.62,54.63,3.5146591310490902
GTPL,2026-09-18,56.96,54.96,3.51123595505618
MONTECARLO,2026-09-15,552.35,532.4,3.6118403186385524
MONTECARLO,2026-09-16,549.95,530.05,3.6185107737067166
MONTECARLO,2026-09-17,554.7,534.65,3.614566432305763
MONTECARLO,2026-09-18,553.05,533.05,3.6163095560980025
PNBGILTS,2026-09-15,76.29,74.36,2.529820422073675
PNBGILTS,2026-09-16,77.91,75.94,2.528558593248619
PNBGILTS,2026-09-17,78.5,76.52,2.5222929936305785
PNBGILTS,2026-09-18,79.18,77.18,2.525890376357666
RUBFILA,2026-09-15,63.56,61.69,2.9421019509125306
RUBFILA,2026-09-16,65.04,63.12,2.9520295202952163
RUBFILA,2026-09-17,65.72,63.78,2.9519172245891627
RUBFILA,2026-09-18,67.36,65.38,2.9394299287410988
RUCHIRA,2026-09-15,105.44,103.02,2.295144157814873
RUCHIRA,2026-09-16,107.28,104.82,2.293064876957502
RUCHIRA,2026-09-17,107.45,104.99,2.2894369474174106
RUCHIRA,2026-09-18,108.84,106.35,2.287761852260207
SPIC,2026-09-15,67.38,65.42,2.908875037102989
SPIC,2026-09-16,66.83,64.88,2.917851264402219
SPIC,2026-09-17,66.92,64.97,2.913927077106998
SPIC,2026-09-18,68.7,66.7,2.911208151382824
TAALTECH,2026-09-15,5012.4,1002.5,79.99960098954593
TAALTECH,2026-09-16,5121.2,1024.2,80.00078106693745
TAALTECH,2026-09-17,5349.2,1069.8,80.00074777536827
TAALTECH,2026-09-18,5416.3,1083.3,79.99926148846998
