Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,IPO_New_Highs,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA,T3_Breakouts_5D,T3_Wins_5D,Composite_Score
2018-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,,0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,5
2018-04-03,1155,854,266,0,0,0,185,9,0,0,0,0,607,192548416266.06,48954538412.16,0,0,,,,,,0,3.9332086975256244,588.0,29.400000000000002,0.8162613689452103,,,,,,,,,,,,,0.0,0.0,15
2018-04-04,1159,389,745,0,0,0,70,63,0,0,0,0,210,62501027600.64,207685873942.72,0,0,,,,255.0,72.0,0,0.3009401959513041,-356.0,7.190000000000001,1.7350545325331066,,,,,,,,,,,,,0.0,0.0,22
2018-04-05,1162,1012,133,0,0,0,183,10,0,0,0,0,256,227770601273.7,23325283187.350002,0,0,,,,438.0,82.0,0,9.764966171867393,879.0,49.9145,0.7792164788355712,,,,,,,,,,,,,0.0,0.0,31
2018-04-06,1164,692,437,0,0,0,87,17,0,0,0,0,238,180331885247.42,59149726539.84,130,89,,,,340.0,90.0,0,3.048735738887286,255.0,54.994375000000005,0.5194035046271022,,,,,,,,,,,,,130.0,89.0,49
2018-04-09,1165,669,453,0,0,0,108,10,0,0,0,0,228,145303602891.32,87306615043.9,118,98,,,,378.0,37.0,0,1.6642908766793634,216.0,57.11269625000001,0.8873576204416697,,,,,,,,,,,,,248.0,187.0,48
2018-04-10,1168,508,630,0,0,0,75,25,0,0,0,0,149,155248117619.11002,84368579037.27,81,54,,,,270.0,52.0,0,1.8401177238095812,-122.0,41.738297437500016,0.4382052278045711,,,,,,,,,,,,,329.0,241.0,45
2018-04-11,1166,445,692,0,0,0,50,27,0,0,0,0,102,132960302416.09,114166397915.69,88,41,,,,233.0,62.0,0,1.164618529125172,-247.0,22.13449496562501,0.552166711874385,,,,,,,,,,,,,417.0,282.0,41
2018-04-12,1165,440,692,0,0,0,53,44,0,0,0,0,78,126018083406.6,113619584703.27,88,39,,,,178.0,96.0,0,1.10912290108884,-252.0,5.012571377343761,0.5732801564775256,,,,,,,,,,,,,505.0,321.0,40
2018-04-13,1169,557,584,0,0,0,58,30,0,0,0,0,98,152092187137.93,88926187601.54,96,47,,,,161.0,101.0,0,1.7103194372778454,-27.0,1.598263852476574,0.5576543787666313,,,,,,,,,,,,,471.0,279.0,41
2018-04-16,1169,567,566,0,0,0,67,31,0,0,0,0,111,135840645609.44,86943178489.31,70,37,,,,178.0,105.0,0,1.5624071717845252,1.0,0.07103959945274951,0.6411688339270197,,,,,,,,,,,,,423.0,218.0,28
2018-04-17,1166,582,546,0,0,0,70,22,0,0,0,0,105,122058277802.21,106987833584.77,80,46,,,,195.0,83.0,0,1.1408612896671022,36.0,0.5149076651201163,0.9343239845091951,,,,,,,,,,,,,422.0,210.0,26
2018-04-18,1164,396,736,0,0,0,57,37,0,0,0,0,70,108893986376.72,116284908638.81,81,35,,,,194.0,90.0,0,0.9364412601032626,-340.0,-17.90815967705989,0.5745619092024403,,,,,,,,,,,,,415.0,204.0,21
