symbol,company_name,isin,as_of_date,close,median_turnover_50d_cr,ema20,ema50,ema200,close_vs_ema20_pct,close_vs_ema50_pct,close_vs_ema200_pct,trend_stack
KALYANKJIL,,,2026-09-15,604.2,903.19,600.08,564.98,489.08,0.69,6.94,23.54,Close > EMA20 > EMA50 > EMA200
ETERNAL,,,2026-09-15,315.25,834.7,321.07,308.7,283.02,-1.81,2.12,11.39,Close > EMA20 > EMA50 > EMA200
CUPID,,,2026-09-15,284.4,684.16,276.69,251.39,160.9,2.79,13.13,76.76,Close > EMA20 > EMA50 > EMA200
MCX,,,2026-09-15,3173.5,555.8,3208.96,3059.06,2656.42,-1.11,3.74,19.47,Close > EMA20 > EMA50 > EMA200
ATHERENERG,,,2026-09-15,1568.5,514.51,1567.81,1429.34,1033.7,0.04,9.74,51.74,Close > EMA20 > EMA50 > EMA200
PAYTM,,,2026-09-15,1730.0,476.47,1662.04,1524.2,1279.92,4.09,13.5,35.16,Close > EMA20 > EMA50 > EMA200
IDEA,,,2026-09-15,14.45,460.42,14.62,14.11,12.24,-1.15,2.44,18.01,Close > EMA20 > EMA50 > EMA200
KOTAKBANK,,,2026-09-15,409.8,454.8,412.69,403.29,398.84,-0.7,1.61,2.75,Close > EMA20 > EMA50 > EMA200
COFORGE,,,2026-09-15,1775.5,409.54,1870.61,1763.07,1586.08,-5.08,0.71,11.94,Close > EMA20 > EMA50 > EMA200
PCJEWELLER,,,2026-09-15,12.89,360.85,11.87,10.76,10.28,8.58,19.76,25.39,Close > EMA20 > EMA50 > EMA200
DIVISLAB,,,2026-09-15,9198.0,338.45,9060.71,8409.15,7169.16,1.52,9.38,28.3,Close > EMA20 > EMA50 > EMA200
TECHM,,,2026-09-15,1575.9,321.68,1578.85,1562.97,1497.91,-0.19,0.83,5.21,Close > EMA20 > EMA50 > EMA200
LENSKART,,,2026-09-15,685.4,312.65,661.62,616.34,528.4,3.59,11.21,29.71,Close > EMA20 > EMA50 > EMA200
LAURUSLABS,,,2026-09-15,1926.9,297.31,1883.73,1767.98,1373.25,2.29,8.99,40.32,Close > EMA20 > EMA50 > EMA200
BAJAJ-AUTO,,,2026-09-15,11424.0,286.55,11755.74,11402.69,10281.79,-2.82,0.19,11.11,Close > EMA20 > EMA50 > EMA200
OFSS,,,2026-09-15,11803.0,277.9,11831.66,11460.13,9733.2,-0.24,2.99,21.27,Close > EMA20 > EMA50 > EMA200
PERSISTENT,,,2026-09-15,5477.5,261.76,5558.27,5432.45,5352.7,-1.45,0.83,2.33,Close > EMA20 > EMA50 > EMA200
MOTHERSON,,,2026-09-15,158.15,206.65,163.21,158.11,136.87,-3.1,0.02,15.55,Close > EMA20 > EMA50 > EMA200
APARINDS,,,2026-09-15,16550.0,203.3,17093.18,16164.04,12943.29,-3.18,2.39,27.87,Close > EMA20 > EMA50 > EMA200
CHENNPETRO,,,2026-09-15,1471.8,201.72,1441.35,1327.92,1074.56,2.11,10.84,36.97,Close > EMA20 > EMA50 > EMA200
WELCORP,,,2026-09-15,2413.3,199.35,2413.21,2080.41,1438.64,0.0,16.0,67.75,Close > EMA20 > EMA50 > EMA200
POLICYBZR,,,2026-09-15,1736.0,181.27,1786.78,1727.18,1670.25,-2.84,0.51,3.94,Close > EMA20 > EMA50 > EMA200
NYKAA,,,2026-09-15,336.2,175.22,336.62,326.95,286.39,-0.13,2.83,17.39,Close > EMA20 > EMA50 > EMA200
NAUKRI,,,2026-09-15,1261.5,168.14,1298.44,1252.85,1191.67,-2.85,0.69,5.86,Close > EMA20 > EMA50 > EMA200
SONACOMS,,,2026-09-15,790.0,146.62,795.98,760.78,632.78,-0.75,3.84,24.85,Close > EMA20 > EMA50 > EMA200
AEGISLOG,,,2026-09-15,1323.5,138.03,1303.35,1256.27,987.31,1.55,5.35,34.05,Close > EMA20 > EMA50 > EMA200
HYUNDAI,,,2026-09-15,2140.0,137.51,2186.47,2132.73,2074.8,-2.13,0.34,3.14,Close > EMA20 > EMA50 > EMA200
BOSCHLTD,,,2026-09-15,47070.0,136.24,47614.54,45273.27,39869.9,-1.14,3.97,18.06,Close > EMA20 > EMA50 > EMA200
TFCILTD,,,2026-09-15,138.18,134.0,135.77,118.74,87.12,1.77,16.37,58.61,Close > EMA20 > EMA50 > EMA200
PNB,,,2026-09-15,114.7,133.38,115.72,113.56,110.7,-0.88,1.0,3.61,Close > EMA20 > EMA50 > EMA200
PARAS,,,2026-09-15,1339.2,129.99,1420.75,1336.32,1017.9,-5.74,0.22,31.56,Close > EMA20 > EMA50 > EMA200
AUROPHARMA,,,2026-09-15,1660.0,124.9,1654.24,1610.96,1433.37,0.35,3.04,15.81,Close > EMA20 > EMA50 > EMA200
SYRMA,,,2026-09-15,1507.7,124.52,1513.92,1437.73,1131.79,-0.41,4.87,33.21,Close > EMA20 > EMA50 > EMA200
WABAG,,,2026-09-15,2103.4,121.99,2066.39,1993.55,1687.46,1.79,5.51,24.65,Close > EMA20 > EMA50 > EMA200
RBLBANK,,,2026-09-15,403.6,121.77,399.13,385.33,341.01,1.12,4.74,18.35,Close > EMA20 > EMA50 > EMA200
REDINGTON,,,2026-09-15,378.95,120.25,364.92,333.46,278.5,3.84,13.64,36.07,Close > EMA20 > EMA50 > EMA200
OIL,,,2026-09-15,485.6,118.32,483.68,470.34,456.73,0.4,3.24,6.32,Close > EMA20 > EMA50 > EMA200
GLAND,,,2026-09-15,2895.5,118.07,2882.49,2715.44,2241.12,0.45,6.63,29.2,Close > EMA20 > EMA50 > EMA200
WOCKPHARMA,,,2026-09-15,2064.1,117.71,2041.51,1956.18,1697.57,1.11,5.52,21.59,Close > EMA20 > EMA50 > EMA200
RATNAVEER,,,2026-09-15,289.6,116.84,280.14,244.29,189.88,3.38,18.55,52.52,Close > EMA20 > EMA50 > EMA200
MOREPENLAB,,,2026-09-15,106.22,113.31,104.39,86.91,61.17,1.75,22.21,73.65,Close > EMA20 > EMA50 > EMA200
AZAD,,,2026-09-15,2704.9,113.1,2761.68,2594.93,2118.95,-2.06,4.24,27.65,Close > EMA20 > EMA50 > EMA200
IDFCFIRSTB,,,2026-09-15,84.8,111.17,85.57,83.52,77.69,-0.91,1.53,9.15,Close > EMA20 > EMA50 > EMA200
GLENMARK,,,2026-09-15,2371.7,108.51,2404.78,2342.34,2177.76,-1.38,1.25,8.91,Close > EMA20 > EMA50 > EMA200
RADICO,,,2026-09-15,4360.0,108.31,4479.12,4340.09,3635.46,-2.66,0.46,19.93,Close > EMA20 > EMA50 > EMA200
APLAPOLLO,,,2026-09-15,2119.3,99.08,2149.01,2054.16,1932.52,-1.38,3.17,9.66,Close > EMA20 > EMA50 > EMA200
NAVINFLUOR,,,2026-09-15,8228.0,98.63,8460.44,8127.61,6978.45,-2.75,1.24,17.91,Close > EMA20 > EMA50 > EMA200
CARTRADE,,,2026-09-15,3017.1,96.37,3006.2,2849.94,2443.96,0.36,5.87,23.45,Close > EMA20 > EMA50 > EMA200
PPLPHARMA,,,2026-09-15,203.47,92.13,212.01,201.81,183.82,-4.03,0.82,10.69,Close > EMA20 > EMA50 > EMA200
ACUTAAS,,,2026-09-15,3266.2,90.68,3258.01,3243.74,2684.97,0.25,0.69,21.65,Close > EMA20 > EMA50 > EMA200
PWL,,,2026-09-15,130.72,90.08,125.32,124.21,123.18,4.31,5.24,6.12,Close > EMA20 > EMA50 > EMA200
