Date,Total_Universe,Advances,Declines,Above_20_EMA,Above_50_EMA,Above_200_EMA,Up_4_Count,Down_4_Count,Up_25_1M_Count,Down_25_1M_Count,New_52W_Highs,New_52W_Lows,IPO_New_Highs,Total_Up_Volume,Total_Down_Volume,T3_Breakouts,T3_Wins,Pct_Above_20_EMA,Pct_Above_50_EMA,Pct_Above_200_EMA,Rolling_3D_Up_4,Rolling_3D_Down_4,Net_52W_High_Low,Volume_Ratio,AD_Spread,MCO,TRIN,Large_Pct_20_EMA,Large_Pct_50_EMA,Large_Pct_200_EMA,Mid_Pct_20_EMA,Mid_Pct_50_EMA,Mid_Pct_200_EMA,Small_Pct_20_EMA,Small_Pct_50_EMA,Small_Pct_200_EMA,Micro_Pct_20_EMA,Micro_Pct_50_EMA,Micro_Pct_200_EMA,T3_Breakouts_5D,T3_Wins_5D,Composite_Score,Intraday_Volume_Points,Unchanged
2018-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,,,,0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,5,,
2018-04-03,1155,854,266,0,0,0,186,9,0,0,0,0,607,192502555724.36,48953072861.01,0,0,,,,,,0,3.9323896228317032,588.0,29.4,0.8164313874568672,,,,,,,,,,,,,0.0,0.0,15,,
2018-04-04,1159,389,745,0,0,0,70,63,0,0,0,0,210,62499757476.42,207635898764.96,0,0,,,,256.0,72.0,0,0.3010065111484819,-356.0,7.190000000000001,1.734672280059563,,,,,,,,,,,,,0.0,0.0,22,,
2018-04-05,1162,1012,133,0,0,0,183,10,0,0,0,0,256,227738661576.09,23325283187.35,0,0,,,,439.0,82.0,0,9.76359685526131,879.0,49.9145,0.7793257617238367,,,,,,,,,,,,,0.0,0.0,31,,
2018-04-06,1164,692,437,0,0,0,87,17,0,0,0,0,238,180301921370.33,59139378989.8,130,89,,,,340.0,90.0,0,3.048762507320669,255.0,54.994375000000005,0.5193989442134657,,,,,,,,,,,,,130.0,89.0,49,,
2018-04-09,1165,669,453,0,0,0,108,10,0,0,0,0,228,145281211886.46,87279364088.98,118,98,,,,378.0,37.0,0,1.664553968774887,216.0,57.11269625000001,0.8872173685902908,,,,,,,,,,,,,248.0,187.0,48,,
2018-04-10,1168,508,630,0,0,0,75,25,0,0,0,0,149,155226286054.43,84354542569.56999,81,54,,,,270.0,52.0,0,1.84016510938234,-122.0,41.738297437500016,0.4381939437053349,,,,,,,,,,,,,329.0,241.0,45,,
2018-04-11,1166,445,692,0,0,0,50,27,0,0,0,0,102,132922683818.26,114145422858.44,88,41,,,,233.0,62.0,0,1.1645029690161737,-247.0,22.13449496562501,0.5522215064495017,,,,,,,,,,,,,417.0,282.0,41,,
2018-04-12,1165,440,692,0,0,0,53,44,0,0,0,0,78,125987966206.51,113603104612.49,88,39,,,,178.0,96.0,0,1.1090186895531229,-252.0,5.012571377343761,0.57333402608862,,,,,,,,,,,,,505.0,321.0,40,,
2018-04-13,1169,557,584,0,0,0,58,30,0,0,0,0,98,152026344091.7,88924370864.73,96,47,,,,161.0,101.0,0,1.7096139406255626,-27.0,1.598263852476574,0.5578845028244678,,,,,,,,,,,,,471.0,279.0,41,,
2018-04-16,1169,567,566,0,0,0,67,31,0,0,0,0,111,135817372293.68,86919255653.96,70,37,,,,178.0,105.0,0,1.562569436102761,1.0,0.0710395994527495,0.6411022520386842,,,,,,,,,,,,,423.0,218.0,28,,
2018-04-17,1166,582,546,0,0,0,70,22,0,0,0,0,105,122030138537.22,106968230142.41,80,46,,,,195.0,83.0,0,1.1408073067560118,36.0,0.5149076651201163,0.9343681966458868,,,,,,,,,,,,,422.0,210.0,26,,
2018-04-18,1164,396,736,0,0,0,57,37,0,0,0,0,70,108862501374.2,116263568344.44,81,35,,,,194.0,90.0,0,0.936342337710522,-340.0,-17.90815967705989,0.5746226103333695,,,,,,,,,,,,,415.0,204.0,21,,
2018-04-19,1168,658,478,0,0,0,87,36,0,0,0,0,98,180098188292.74,79416130912.35,56,35,,,,214.0,95.0,0,2.267778425160384,180.0,-7.570341456238495,0.6070121412146112,,,,,,,,,,,,,383.0,200.0,35,,
2018-04-20,1169,475,658,0,0,0,61,35,0,0,0,0,89,147476001312.15,134837908681.72,87,44,,,,205.0,108.0,0,1.0937280380123793,-183.0,-16.84365517015501,0.6600219372560993,,,,,,,,,,,,,374.0,197.0,29,,
2018-04-23,1167,609,514,0,0,0,89,25,0,0,0,0,101,192078253329.84,71388328637.65,84,49,,,,237.0,96.0,0,2.690611434605551,95.0,-10.788120119702857,0.4403552618133554,,,,,,,,,,,,,388.0,209.0,39,,
2018-04-24,1163,496,634,0,0,0,56,41,0,0,0,0,72,132902639225.57,131047508648.81,90,30,,,,206.0,101.0,0,1.0141561682163032,-138.0,-17.20669705096775,0.7714141168554081,,,,,,,,,,,,,398.0,193.0,23,,
2018-04-25,1165,315,826,0,0,0,39,70,0,0,0,0,45,142486947239.7,123558552683.0,84,40,,,,184.0,136.0,0,1.1531937218887829,-511.0,-41.2585468419444,0.3306954633595975,,,,,,,,,,,,,401.0,198.0,23,,
2018-04-26,1167,503,630,0,0,0,50,40,0,0,0,0,42,205369575677.44,146466319214.75,106,38,,,,145.0,151.0,0,1.4021624683305218,-127.0,-42.4165856790197,0.5694152542560383,,,,,,,,,,,,,451.0,201.0,16,,
2018-04-27,1167,624,493,0,0,0,72,30,0,0,0,0,52,189461464566.13,103923378237.17,105,43,,,,161.0,140.0,0,1.823088007529434,131.0,-30.294625956323998,0.6942726165212116,,,,,,,,,,,,,469.0,200.0,18,,
2018-04-30,433,283,144,295,0,0,35,8,0,0,0,0,47,142183088944.99,80398892435.04,87,50,72.12713936430319,,,157.0,78.0,0,1.7684707418061745,139.0,-19.37887726363755,1.1112865660251752,76.53061224489795,,,72.66666666666667,,,68.94409937888199,,,,,,472.0,201.0,32,,
2018-05-02,422,96,322,230,0,0,7,46,19,5,0,0,16,91113273647.33,181557539460.79,81,35,56.234718826405874,,,114.0,84.0,0,0.5018424127024879,-226.0,-28.19901774507245,0.5940841953895997,58.58585858585859,,,55.70469798657718,,,55.27950310559007,,,,,,463.0,206.0,26,,
2018-05-03,418,109,307,190,0,0,11,23,14,7,0,0,5,100147908960.65,158867047856.86,67,12,46.68304668304668,,,53.0,77.0,0,0.6303881787422888,-198.0,-34.19924276797393,0.5632225855554981,50.505050505050505,,,44.66666666666666,,,46.20253164556962,,,,,,446.0,178.0,23,,
2018-05-04,414,154,251,177,0,0,14,16,14,5,0,0,7,112366623467.43,123322800339.88,14,3,44.02985074626866,,,32.0,85.0,0,0.9111585461710684,-97.0,-34.10843894871482,0.6733688876775081,47.0,,,42.28187919463088,,,43.790849673202615,,,,,,354.0,143.0,22,,
