Time,Adv_Pct,Advances,Declines,Date
03:58,44.9,1057,1297,2026-08-14
04:09,43.0,1025,1358,2026-08-14
04:11,42.2,1008,1380,2026-08-14
05:03,35.3,852,1565,2026-08-14
05:54,34.8,845,1586,2026-08-14
05:56,34.7,842,1586,2026-08-14
06:01,34.4,836,1591,2026-08-14
06:07,34.8,843,1581,2026-08-14
11:51,35.4,858,1569,2026-08-14
12:04,35.1,854,1576,2026-08-14
12:28,35.5,860,1563,2026-08-14
12:35,35.8,871,1564,2026-08-14
13:30,35.8,869,1559,2026-08-14
13:41,35.3,856,1568,2026-08-14
13:52,36.4,883,1545,2026-08-14
15:38,35.1,860,1590,2026-08-14
16:42,35.1,859,1589,2026-08-14
